"name","converted_modelid"
Anthracite_Antlion,"68"
Antican_Aedilis,"245"
Antican_Antesignanus,"12"
Antican_Auxiliarius,"231"
Antican_Centurio,"16"
Antican_Consul,"235"
Antican_Decurio,"8"
Antican_Eques,"8"
Antican_Essedarius,"248"
Antican_Faber,"253"
Antican_Funditor,"243"
Antican_Hastatus,"241"
Antican_Hoplomachus,"16"
Antican_Lanista,"255"
Antican_Legatus,"9"
Antican_Magister,"236"
Antican_Praefectus,"17"
Antican_Praetor,"1"
Antican_Princeps,"16"
Antican_Proconsul,"4"
Antican_Quaestor,"0"
Antican_Retiarius,"254"
Antican_Sagittarius,"248"
Antican_Secutor,"241"
Antican_Signifer,"255"
Antican_Speculator,"254"
Antican_Triarius,"239"
Antican_Tribunus,"252"
Antican_Veles,"241"
Antlion_Fly,"192"
Anvilix_Sootwrists,"64"
Apademak,"15"
Apis,"77"
Apkallu,"187"
Apocalyptic_Beast,"164"
Apocalyptic_Weapon,"195"
Apollyon_Cleaner,"156"
Apollyon_Sapling,"136"
Apollyon_Scavenger,"71"
Apollyon_Sweeper,"48"
Apsaras,"92"
Aquarian_Caster,"13"
Aquarius,"100"
Arachne,"54"
Aragoneu_Knight,"9"
Arboricole_Beetle,"152"
Arboricole_Crawler,"140"
Arboricole_Hornet,"16"
Arboricole_Opo-opo,"160"
Arboricole_Raven,"189"
Arboricole_Spider,"54"
Arcane_Phantasm,"56"
Archaic_Chariot,"29"
Archaic_Chest,"2"
Archaic_Gear,"27"
Archaic_Gears,"28"
Archaic_Mirror,"21"
Archaic_Rampart,"26"
Archer_Pugil,"92"
Archlich_Taberquoan,"64"
Arch_Ahriman,"9"
Arch_Corse,"83"
Arch_Demon,"239"
Areuhat,"26"
Argus,"128"
Arid_Limule,"77"
Aries,"88"
Ariesian_Caster,"12"
Arimaspi,"10"
Arioch,"1"
Ariri_Samariri,"21"
Ark_Angel_EV,"17"
Ark_Angel_GK,"20"
Ark_Angel_HM,"16"
Ark_Angel_MR,"18"
Ark_Angels_Mandragora,"45"
Ark_Angels_Tiger,"52"
Ark_Angels_Wyvern,"12"
Ark_Angel_TT,"19"
Armed_Gears,"28"
Locus_Armet_Beetle,"152"
Armillaria,"201"
Armored_Chariot,"30"
Armored_Hunter,"68"
Armoury_Crate,"3"
Armsmaster_Dekbuk,"102"
Aroma_Crawler,"140"
Aroma_Fly,"192"
Aroma_Leech,"20"
Arrapago_Apkallu,"187"
Arrapago_Crab,"100"
Arrapago_Leech,"21"
Asanbosam,"1"
Ascetox_Ratgums,"66"
Ashakku,"21"
Ashmaker_Gotblut,"235"
Ashmea_B_Greinner,"2"
Ashtaerh_the_Gallvexed,"239"
Ashu_Talif_Captain,"104"
Ashu_Talif_Crew_rng,"106"
Ashu_Talif_Marine,"107"
Ash_Dragon,"164"
Ash_Lizard,"73"
Asphyxiated_Amsel,"112"
Aspidochelone,"145"
Asrai,"65"
Assailer_Chariot,"32"
Assassin_Fly,"193"
Assault_Bhoot,"113"
Assault_Draugar_drg,"226"
Asterion,"79"
Astika,"177"
Athamas,"57"
Atomic_Cluster,"34"
Atomos,"21"
Atrociraptor,"60"
Attack_Ziz,"33"
Attohwa_Coeurl,"111"
Ateuvhi,"14"
Audhumbla,"77"
Audumbla,"77"
Augmented_Chigoe,"211"
Aura_Butler,"48"
Aura_Gear,"48"
Aura_Pot,"156"
Aura_Statue,"176"
Aura_Weapon,"195"
Auroral_Alicorn,"179"
Avalanche,"22"
Avalerion,"181"
Avatar_Icon,"36"
Avatar_Idol,"36"
Awahondo,"73"
Awd_Goggie,"141"
Woeful_Weeper,"92"
Aweuvhi,"14"
Awghrah,"137"
Awzdei,"133"
Axesarion_the_Wanderer,"26"
Axe_Beak,"32"
Ayakashi,"23"
Ayame,"69"
Aydeewa_Crab,"100"
Aydeewa_Diremite,"73"
Ayravata,"202"
Azdaja,"99"
Azer,"24"
Azima,"12"
Azo,"54"
Azoth_Apsaras,"92"
Azren_Kuba,"52"
Azren_Kuguza,"60"
Ba,"188"
Baa_Dava_the_Bibliophage,"60"
Baas_Avatar,"30"
Baba_Yaga,"238"
Babban_Ny_Mheillea,"199"
Badlands_Crab,"100"
Badshah,"52"
Baelfyr,"101"
Baetyl_Quadav_BS,"31"
Bahamut,"27"
Bakka,"189"
Bakru,"44"
Balam-Agab,"111"
Balam-Quitz,"198"
Balaur,"83"
Ballistosporer,"120"
Balloon,"24"
Balor,"250"
Balrahn,"240"
Bandersnatch,"108"
Bandrix_Rockjaw,"62"
Bane_Lizard,"72"
Banshee,"112"
Baobhan_Sith,"112"
Barakbok,"102"
Bardha,"112"
Barghest,"108"
Bark_Spider,"54"
Bark_Tarantula,"54"
Barometz,"44"
Baronet_Romwe,"228"
Barong,"164"
Baronial_Bat,"0"
Baron_Vapula,"231"
Barrens_Treant,"139"
Barri,"233"
Bartholomaus,"0"
Bashdeel,"96"
Arch_Christelle,"124"
Bastion_Bats,"4"
Bastion_Fighter,"1"
Bastion_Mage,"2"
Bathyal_Gigas,"196"
Bathybic_Kulshedra,"97"
Batteilant_Bhoot,"113"
Battering_Bugard,"71"
Battering_Ram,"88"
Battlechoir_Gitchfotch,"25"
Battleclad_Chariot,"32"
Battledressed_Chariot,"32"
Battlemaster_Vatgit,"244"
Battlemite,"73"
Battlerigged_Chariot,"29"
Battle_Bat,"0"
Battle_Bugard,"71"
Battrap,"65"
Battue_Bats,"4"
Bat_Battalion,"4"
Bat_Eye,"8"
Baumesel,"65"
Bavarois,"36"
BaTho_Mercifulheart,"76"
Beach_Bunny,"12"
Beach_Monk,"96"
Beach_Pugil,"92"
Beadeaux_Vanguard,"78"
Beady_Beetle,"152"
Bearclaw_Leveret,"14"
Bearclaw_Rabbit,"14"
Beelzebub,"16"
Beet_Leafhopper,"192"
Behemoth,"148"
Beholder,"128"
Beli,"199"
Bendigeit_Vran,"19"
Bennu,"83"
Benumbed_Vodoriga,"99"
Berried_Chigoe,"211"
Berry_Grub,"140"
Berry_Syrup,"36"
Berserker_Demon,"172"
Berserkr,"236"
Berstuk,"230"
Beryl-footed_Molberry,"181"
Lost_Nantina,"40"
BeZhe_Keeprazer,"31"
Bhogbiggs_Grenade,"0"
Bhogbiggs_Vial,"0"
Bhoot,"113"
Bhoot_Intruder,"112"
Bhoot_Invader,"113"
Bhuta,"112"
Bhuu_Wjato_the_Firepool,"61"
Bialozar,"80"
Biast,"164"
Biddybug,"226"
Bifrons,"24"
Bigclaw_aggro,"100"
Bigmouth_Billy,"168"
Big_Bat,"0"
Big_Bomb,"26"
Big_Jaw_fished,"92"
Big_Leech,"20"
Bilopdop,"112"
Binding_Tube_GS,"0"
Birdtrap,"65"
Bisan,"152"
Bisque-heeled_Sunberry,"167"
Bistre-hearted_Malberry,"198"
Bitoso,"141"
BiFho_Jestergrin,"138"
BiGho_Headtaker_B,"177"
Blackbeard,"57"
Blackbone_Frazdiz,"118"
Blacktattoo_Vedool_Ja,"95"
Black_Baron,"190"
Black_Bartholomew,"105"
Black_Bat,"0"
Black_Coney,"13"
Black_Dragon,"164"
Black_Merino,"85"
Black_Pudding,"7"
Black_Shuck,"1"
Black_Slime,"36"
Black_Triple_Stars,"4"
Black_Wolf,"108"
Blademaw_Pugil,"92"
Blade_Bat,"0"
Bladmall,"81"
Blanched_Kraken,"97"
Blanga,"177"
Blazer_Beetle,"152"
Blazing_Eruca,"160"
Blazox_Boneybod,"64"
Blifnix_Oilycheeks,"103"
Blind_Crab,"100"
Blind_Moby,"92"
Blizzard_Gigas,"196"
Blizzard_Wyvern,"142"
Blob,"36"
Bloodcrown_Brradhod,"24"
Bloodeye_Vileberry,"75"
Bloodguzzler,"21"
Bloodlapper,"220"
Bloodpool_Vorax,"20"
Bloodsucker_NI,"20"
Bloodtear_Baldurf,"88"
Bloodthirster_Madkix,"252"
Bloodwing_Impaler,"108"
Bloody_Bones,"222"
Bloody_Coffin,"101"
Bloody_Daggers,"197"
Bloody_Vrukwuk,"241"
Blood_Ball,"21"
Blood_Bat,"1"
Blood_Bunny,"12"
Blood_Demon,"234"
Blood_Soul,"112"
Blooming_Rafflesia,"232"
Blubbery_Bulge,"36"
Blubber_Eyes,"128"
Bluestreak_Gyugyuroon,"199"
Bluethunder_Kaqool_Ja,"71"
Blue_Bascinet,"100"
Bluffalo,"77"
Boartrap,"65"
Bodach,"60"
Boggart,"195"
Boggelmann,"71"
Bogy,"112"
Bog_Bunny,"12"
Bog_Dog,"108"
Bog_Sahagin,"31"
Bolster,"140"
Bomb,"24"
Bombadeel,"40"
Bomblix_Flamefinger,"188"
Bombshells,"35"
Bomb_Bastard,"24"
Bomb_King,"24"
Bomb_Prince,"24"
Bomb_Princess,"24"
Bomb_Queen,"24"
Bonfire,"24"
Bonnacon,"77"
Bonze_Marberry,"198"
Boodlix,"190"
Book_Browser_Bokabraq,"175"
Boompadu,"242"
Bootrix_Jaggedelbow,"62"
Bopa_Greso,"1"
Borametz,"45"
Bordox_Kittyback,"62"
Boreal_Coeurl,"111"
Boreal_Hound,"108"
Boreal_Tiger,"52"
Borer_Beetle,"152"
Boroka,"85"
Bouncing_Ball,"20"
Boyahda_Sapling,"136"
BoDho_Hundredfist,"107"
BoDhos_Shieldwarrior_C,"68"
BoGha_Winterkill,"157"
BoWho_Warmonger,"139"
Brae_Opo-Opo,"160"
Brami,"234"
Branding_Iron,"48"
Brasscap,"201"
Brass_Borer,"10"
Brass_Quadav,"140"
Bravo_NV24,"62"
Brei,"36"
Bres,"131"
Brewnix_Bittypupils,"65"
Briareus,"227"
Brigandish_Blade,"195"
Bright-handed_Kunberry,"153"
Brine_Crab,"100"
Brittle_Rock,"194"
Broken_Troll_Soldier_mnk,"176"
Brontobugard,"71"
Brontotaur,"79"
Bronze_Quadav,"139"
Broo,"84"
Brooder,"104"
Brook_Sahagin,"23"
Brradhods_Donzel,"246"
Brradhods_Fletcher,"5"
Brulo,"25"
Brummbar,"220"
Brummer,"220"
Brunhilde,"105"
Brutal_Sheep,"84"
Bryher,"124"
Bubbly,"160"
Bubbly_Bernie,"100"
Buburimboo,"92"
Buffalo,"77"
Buffrix_Eargone,"63"
Bugaboo,"112"
Bugallug,"75"
Bugard,"71"
Bugard-X,"71"
Bugbby,"75"
Bugbear_Bondman,"75"
Bugbear_Deathsman,"75"
Bugbear_Matman,"75"
Bugbear_Muscleman,"75"
Bugbear_Porterman,"75"
Bugbear_Servingman,"75"
Bugbear_Strongman,"75"
Bugbear_Trashman,"75"
Bugbear_Watchman,"75"
Bugboy,"75"
Bugul_Noz,"73"
Bui,"235"
Bukhis,"86"
Bukki,"190"
Bullbeggar,"160"
Bulldog_Bats,"4"
Bullheaded_Grosvez,"112"
Bull_Bugard,"71"
Bull_Dhalmel,"76"
Bull_[Herd1],"77"
Bull_[Herd2],"77"
Bull_[Herd3],"77"
Bulwark_Bat,"0"
Bumblebee,"17"
Bune,"142"
Burned_Bergmann,"112"
Burrow_Antlion,"68"
Burstrox_Powderpate,"103"
Buu_Xolo_the_Bloodfaced,"86"
Buzzfly,"192"
BuGhi_Howlblade,"136"
Bxafraffs_Wyvern,"249"
Byakko,"53"
Byrgen,"100"
Caa_Xaza_the_Madpiercer,"61"
Cactrot_Rapido,"117"
Cactuar,"116"
Cactuar_Cantautor,"116"
Cadaver_Warrior,"60"
Cadaver_Witch,"52"
Cadet_Woundpatcher_I,"0"
Cadet_Woundpatcher_II,"0"
Cadet_Woundpatcher_III,"0"
Caedarva_Leech,"21"
Caedarva_Marshscum,"36"
Caedarva_Pondscum,"36"
Caedarva_Toad,"64"
Cailleach_Bheur,"52"
Caithleann,"9"
Cait_Sith_Ceithir,"207"
Caldera_Crab,"102"
Calf_[Herd1],"104"
Calf_[Herd2],"104"
Calf_[Herd3],"104"
Camazotz_PX,"0"
Camelopardalis,"76"
Camlin,"116"
Canal_Bats_TC,"4"
Canal_Leech,"21"
Blackwater_Pugil,"92"
Cancer,"100"
Canis_Dirus,"1"
Cankercap,"201"
Cannonball,"24"
Canyon_Crawler,"140"
Canyon_Eft,"69"
Canyon_Rarab,"13"
Canyon_Scorpion,"28"
Caoineag,"167"
Capelthwaite,"108"
Capricious_Cassie,"125"
Capricornian_Caster,"10"
Cap_Chomper,"140"
Carabosse,"239"
Caracal,"198"
Caraway_Custard,"8"
Carbuncle_Prime,"23"
Cardian_Prototype,"175"
Caretaker,"48"
Cargo_Crab_Colin,"100"
Carmine-tailed_Janberry,"201"
Carmine_Dobsonfly,"193"
Carmine_Eruca,"150"
Carmine_Sentinel,"202"
Carnagechief_Jackbodokk,"122"
Carnero,"84"
Carnivorous_Crawler,"140"
Carpophagous_Puk,"208"
Carriage_Lizard,"72"
Carrion_Crab,"100"
Carrion_Crow,"189"
Carrion_Dragon,"164"
Carrion_Leech,"21"
Carrion_Marabou,"188"
Carrion_Slime,"36"
Carrion_Toad,"65"
Carrion_Worm,"168"
Carthi,"160"
Caterchipillar,"140"
Caterpillar,"140"
Catoblepas,"76"
Caveberry,"136"
Cave_Antlion,"68"
Cave_Funguar,"120"
Cave_Mold,"36"
Cave_Pugil,"92"
Cave_Scorpion,"28"
Cave_Tiger,"52"
Cave_Worm_KT,"168"
Celeste-eyed_Tozberry,"176"
Celphie,"76"
Cemetery_Cherry,"132"
Centurio_IV-VII,"237"
Centurio_V-III,"17"
Centurio_X-I,"1"
Centurio_XI-I,"252"
Centurio_XII-I,"252"
Centurio_XIII-V,"18"
Cep-Kamuy,"193"
Cerane_I_Virgaut,"1"
Cerberus,"1"
Cerebrator,"104"
Cernunnos,"132"
Cetic_Parasite,"20"
Chaa_Paqa_the_Profound,"70"
Chahnameed,"64"
Chahnameeds_Intestines,"64"
Chahnameeds_Liver,"64"
Chahnameeds_Stomach,"64"
Chamber_Beetle,"152"
Champaign_Coeurl,"111"
Chamrosh,"184"
Chandelier,"24"
Chaos_Elemental,"186"
Chaos_Idol,"48"
Chaos_Wyvern,"142"
Charging_Sheep,"84"
Chariotbuster_Byakzak,"104"
Charybdis,"96"
Chasmic_Hornet,"17"
Chasm_Coeurl,"111"
Chasm_Gnat,"220"
Chasm_Lizard,"72"
Chatoyant_Quadav_BS,"30"
Cha_Lebagta,"50"
Cheese_Hoarder_Gigiroon,"199"
Cheiroptera_GO,"0"
Chekochuk,"175"
Chemical_Cook_Chemachiq,"176"
Cherry_Sapling,"136"
Cherukiki,"157"
Cheval_Pugil,"92"
Chhir_Batti,"196"
Chickcharney,"33"
Chigoe,"211"
Chigoe_Breeder,"118"
Chigoes_Nit,"211"
Chigre,"212"
Chiliarch_Gordarvor,"154"
Chillgaze_Foddrud,"125"
Chillwing_Hwitti,"189"
Chimera_Clot,"38"
Chione,"29"
Chlevnik,"148"
Chocoboleech,"20"
Choh_Moui,"4"
Chuglix_Berrypaws,"249"
Cinderwing,"188"
Cinnamon_Custard,"8"
Cirein-croin,"194"
Cirrate_Christelle,"124"
Citadel_Bats,"4"
Citadel_Chelonian,"145"
Citipati,"83"
Clammy_Imp,"188"
Clan_Bear_Fighter,"244"
Clan_Longtooth_Pillager,"244"
Clan_Reaper_Grunt,"3"
Claret,"38"
Clavauert_B_Chanoix,"14"
Cleuvarion_M_Resoaix,"26"
Climbpix_Highrise,"229"
Clingy_Clare,"126"
Clipper,"100"
Clockwork_Pod_FY,"156"
Cloktix_Longnail,"63"
Clot,"38"
Cloud_Hippogryph,"85"
Cluckatrice,"32"
Cluster,"34"
Coastal_Colibri,"181"
Coastal_Opo-opo,"160"
Coastal_Sahagin,"55"
Cobalt_Quadav,"145"
Cobalt_Sentinel,"185"
Cobraclaw_Buchzvotch,"22"
Cobra_Mercenary,"15"
Coccinelle,"226"
Cockatrice,"32"
Coeurl,"111"
Cogitator,"104"
Cogtooth_Skagnogg,"173"
Coinbiter_Cjaknokk,"255"
Cointeach,"49"
Cold_Gigas,"196"
Colibri,"184"
Colo-colo,"1"
Colorful_Leshy,"135"
Colorful_Treant,"135"
Colossal_Calamari,"96"
Colossus,"176"
Combat,"0"
Combat_Salvemixer,"13"
Compound_Eyes,"128"
Coney,"14"
Confederate_Belfry,"16"
Confederate_Mantelet,"24"
Conqueror_Bakgodek,"243"
Contantican_Black_Mage,"4"
Contantican_Paladin,"18"
Contantican_Ranger,"248"
Contantican_Warrior,"241"
Contemplator,"104"
Cookieduster_Lipiroon,"199"
Cook_Fulberry,"215"
Cook_Minberry,"222"
Cook_Nalberry,"226"
Cook_Solberry,"227"
Coo_Keja_the_Unseen,"76"
Coppercap,"201"
Copper_Beetle,"152"
Copper_Quadav,"138"
Coquecigrue,"32"
Coralline_Uragnite,"81"
Coral_Crab,"100"
Coral_Sahagin,"45"
Cornu,"189"
Corrupted_Soffeil,"52"
Corrupted_Ulbrig,"52"
Corrupted_Yorgos,"60"
Corrupt_Einherjar,"79"
Corse,"83"
Cosmos_Cocora,"199"
Cosmos_Stamen,"44"
Cottontail,"12"
Cougar_Volunteer,"12"
Counselor_Gadalar,"156"
Counselor_Mihli,"159"
Counselor_Najelith,"157"
Counselor_Rughadjeen,"155"
Counselor_Zazarg,"158"
Count_Andromalius,"239"
Count_Bifrons,"229"
Count_Dracula,"53"
Count_Furfur,"229"
Count_Halphas,"171"
Count_Murmur,"235"
Count_Raum,"230"
Count_Vine,"186"
Count_Zaebos,"235"
Coveter,"115"
Cow_[Herd1],"77"
Cow_[Herd2],"77"
Cow_[Herd3],"77"
Crabshaw,"100"
Crabtrap,"65"
Crag_Limule,"77"
Crane_Fly,"192"
Crapaudy,"191"
Craven_Einherjar,"112"
Craver_PM,"110"
Crawler,"140"
Crawler_Hunter,"28"
Creek_Sahagin,"19"
Crepuscule_Puk,"208"
Crevice_Amoeban,"92"
Crimson-toothed_Pawberry,"173"
Crimson_Eruca,"150"
Crimson_Grimoire,"180"
Crimson_Knight_Crab,"101"
Crimson_Wolf_Esquire,"13"
Criosphinx,"146"
Crocodile_Mercenary,"14"
Cronos,"128"
Crossbones_war,"52"
Crushed_Krause,"112"
Cryptonberry_Abductor,"161"
Cryptonberry_Assassin,"161"
Cryptonberry_Charmer,"162"
Cryptonberry_Cutter,"172"
Cryptonberry_Designator,"163"
Cryptonberry_Executor,"165"
Cryptonberry_Harrier,"168"
Cryptonberry_Occultist,"165"
Cryptonberry_Plaguer,"166"
Cryptonberry_Skulker,"165"
Cryptonberry_Stalker,"171"
Crypt_Ghost,"112"
Crystal_Eater,"120"
Cuijatender,"116"
Cumin_Custard,"8"
Cumulator,"115"
Curilla,"70"
Cursed_Axe,"104"
Cursed_Chest,"192"
Cursed_Chigoe,"211"
Cursed_Doppelganger,"0"
Cursed_Puppet,"48"
Cursed_Weapon,"195"
Custodian,"49"
Custom_Cardian,"175"
Cutlass_Scorpion_AC,"28"
Cutter,"100"
Cutthroat_Kabsalah,"104"
Cuu_Doko_the_Blizzard,"71"
Cwn_Annwn,"108"
Cwn_Cyrff,"108"
Cyaneous-toed_Yallberry,"176"
Cyanic_Crab,"100"
Cyan_Deep_Crab,"100"
Cyan_Deep_Pugil,"92"
Cyclopean_Conch,"81"
Cyhiraeth,"49"
Cynoprosopi,"15"
Cyranuce_M_Cutauleon,"62"
D5J2-MERROW,"133"
D5R3-MERROW,"133"
D5S1-MERROW,"136"
Dabotzs_Ghost,"112"
Dadough_Vanguard,"154"
Daggerclaw_Dracos,"60"
Daggertooth_Pugil,"93"
Dagourmarche,"216"
Dagourmarches_Wyvern,"249"
Dahak,"165"
Dalham,"97"
Dalzakk,"7"
Damask_Crab,"101"
Dame_Blanche,"112"
Damselfly,"192"
Dancing_Weapon,"195"
Danzo,"175"
Dapifer_Imp,"188"
Darach,"132"
Darkheir_Grradhod,"25"
Darkling_Draugar,"222"
Darksteel_Golem,"176"
Darksteel_Quadav,"144"
Dark_Aspic,"36"
Dark_Bats,"4"
Dark_Bugler,"190"
Dark_Demon,"240"
Dark_Dragon,"164"
Dark_Elemental,"187"
Dark_Esquire,"239"
Dark_Ixion,"178"
Dark_Rider,"37"
Dark_Spark,"24"
Dark_Stalker_war,"21"
Darokbok_of_Clan_Reaper,"117"
Darter,"192"
Darting_Kachaal_Ja,"90"
Dartorgor_the_Austere,"176"
Date_Eruca,"150"
Davoi_Hornet,"16"
Davoi_Mush,"36"
Davoi_Pugil,"92"
Davoi_Wasp,"16"
DaDha_Hundredmask,"140"
DaShu_Knightslayer,"152"
Dea,"251"
Deadly_Dodo,"32"
Deadly_Iris,"8"
Deadpan_Devilet,"191"
Deathcaller_Bidfbid,"25"
Deathlord_Rojgnoj,"255"
Deathly_Stinger,"16"
Death_Cap,"120"
Death_Clan_Destroyer,"172"
Death_from_Above,"16"
Death_Jacket_LM_MC,"16"
Death_Wasp,"16"
Debaucher,"65"
Decayed_Flesh,"64"
Decimator_Mabel_Ja,"94"
Decontaminator,"157"
Decorative_Weapon,"195"
Decrepit_Gnole,"241"
Decurio_I-III,"239"
Decurio_XIII-LV,"2"
Deelgeed,"72"
Deep_Eye,"9"
Dee_Wapa_the_Desolator,"84"
Dee_Xalmo_the_Grim,"36"
Dee_Zelko_the_Esoteric,"61"
Defender,"59"
Defile_Scorpion,"30"
Defoliate_Leshy,"139"
Defoliate_Treant,"132"
Defoliator,"141"
Degenhard,"129"
Deimobugard,"72"
Deinonychus,"60"
Dekka,"191"
Deloknok,"247"
Delta_Sahagin,"26"
Delver,"115"
Demented_Jalaawa,"239"
Demersal_Gigas,"131"
Demisahagin_Bard,"57"
Demisahagin_Dragoon,"31"
Demisahagin_Monk,"41"
Demishagin_White_Mage,"46"
Demolition_Automaton,"185"
Demonic_Doll,"48"
Demonic_Millstone,"157"
Demonic_Pugil,"92"
Demonic_Rod,"105"
Demonic_Rose,"124"
Demonic_Tiphia,"16"
Demonic_Weapon,"195"
Demon_Aristocrat,"235"
Demon_Banneret,"230"
Demon_Befouler,"240"
Demon_Chancellor,"236"
Demon_Commander,"230"
Demon_General,"233"
Demon_Justiciar,"243"
Demon_Knight,"231"
Demon_Magistrate,"241"
Demon_Magus,"238"
Demon_Pawn,"228"
Demon_Secretary,"231"
Demons_Avatar,"26"
Demons_Elemental,"15"
Demon_Warlock,"232"
Demon_Warrior,"235"
Demon_Wizard,"229"
Dendainsonne,"148"
Denn_the_Orcavoiced,"58"
Den_Scorpion,"28"
Depths_Digester,"109"
Derakbak_of_Clan_Wolf,"100"
Dervos_Ghost,"112"
Desert_Beetle,"153"
Desert_Clionid,"76"
Desert_Dhalmel,"76"
Desert_Manticore,"146"
Desert_Puk,"208"
Desert_Spider,"54"
Desert_Worm,"168"
Desmodont,"0"
Despot,"48"
Detector,"58"
Devegetator,"161"
Deviate_Bhoot,"113"
Deviator,"87"
Devilet,"191"
Devil_Manta,"96"
Devout_Radol_Ja,"90"
Dextrose,"8"
DeBho_Pyrohand,"31"
DePha_Unscarred,"137"
DeVyu_Headhunter,"134"
Dhiadjhar,"97"
Dhorme_Khimaira,"13"
Dhoul,"112"
Diabolos,"121"
Diabolos_Club,"121"
Diabolos_Diamond,"121"
Diabolos_Heart,"121"
Diabolos_Spade,"121"
Diaboloss_Shard,"121"
Diamond_Daig,"152"
Diamond_Quadav,"159"
Diatryma,"80"
Digger_Wasp,"16"
Dilapidated_Gate,"44"
Ding_Bats,"4"
Diplopod,"28"
Diremite,"73"
Diremite_Assaulter,"73"
Diremite_Dominator,"73"
Diremite_Stalker,"73"
Dire_Bat,"0"
Dire_Gargouille,"177"
Dirtyhanded_Gochakzuk,"109"
Dirt_Eater,"169"
Disassembler,"31"
Disaster_Idol,"48"
Disfaurit_B_DAurphe,"39"
Dismemberment_Grappler,"0"
